index,deposit
0,22046.116804473877
1,7151.113642883301
2,6070.649087677002
3,6097.200799255372
4,6258.463467407226
5,22587.512989117433
6,14765.189315827942
7,12327.838429412841
8,12346.68245727539
9,12327.838429412841
10,15796.846916015624
11,12655.829564208983
12,6252.814473266601
13,7689.27714477539
14,12589.155764465331
15,15978.316799926757
16,16303.893919631957
17,12690.395402526856
18,11275.667731933594
19,9324.089011062622
20,9323.236505355835
21,9585.327108215331
22,8308.071628417969
23,20460.00895159912
24,9790.875056076049
25,21071.21434326172
26,23757.839038586426
27,23757.839038586426
28,23691.257738922122
29,27194.016532128906
30,10256.077432250977
31,10256.077432250977
32,26530.358384704592
33,23467.487211938475
34,27002.26019744873
35,27431.479947824097
36,20797.39501647949
37,21214.81005765381
38,22102.71329274597
39,21039.35542022705
40,20134.20093475342
41,10256.077432250977
42,26514.51281100769
43,27921.29795985718
44,22015.928073654173
45,27391.138214111328
46,19572.298008728027
47,19189.8998956604
48,14012.501512756347
49,26841.804498802183
50,20602.73161148071
51,19742.892166625974
52,14923.159670999146
53,14012.501512756347
54,14322.872503967285
55,12006.661199798584
56,18832.433351989745
57,18832.433351989745
58,14997.10864898224
59,19768.311236480713
60,19019.697960067748
61,19483.343941497802
62,14306.79413482666
63,14306.79413482666
64,18898.275389007566
65,13937.692332611083
66,14288.268382110595
67,13749.640453338623
68,18274.83645465088
69,16979.55270336914
70,19472.716359283448
71,14663.659043334961
72,19602.08604169464
73,18898.275389007566
74,13977.020555725097
75,13977.020555725097
76,14490.429661590577
77,14250.022875061035
78,14706.531820870972
79,14018.113059692383
80,13962.648026657105
81,14194.883204345702
82,20710.909330444338
83,14662.33897660675
84,14662.33897660675
85,12911.856638488769
86,20261.925957092284
87,15109.177735278321
88,19517.000660705566
89,27063.96501727295
90,18980.873696136474
91,18559.89354345703
92,18854.120716369627
93,19025.691558013918
94,19550.510967471313
95,14226.46897781372
96,17726.291083190918
97,25548.895092590334
98,14390.72412347107
99,19569.292041778564
100,14063.936836471557
101,18387.21132797241
102,19121.96144996338
103,14676.356126211549
104,19006.060144592284
105,10564.2492661438
106,14715.697424017333
107,19183.86812805176
108,19140.23597001953
109,10751.85849963379
110,15228.276229397583
111,16094.0319863739
112,19093.969291333007
113,15183.459541162109
114,15724.437717175293
115,19166.34035873413
116,5522.318884277343
117,19183.86812805176
118,10742.61516708374
119,15724.437717175293
120,10750.13652987671
121,6391.333047790527
122,6391.333047790527
123,15214.48792730713
124,15273.790692481994
125,10756.701382461548
126,15301.619662341309
127,15111.90436085205
128,19093.969291333007
129,16094.0319863739
130,15790.152556658935
131,15757.412269143677
132,6248.981191406249
133,7366.289139709473
134,10541.452535733033
135,14134.031213378905
136,20097.674909588623
137,20965.09484906006
138,15474.941157723999
139,17466.869271850588
140,13082.165664367676
141,16512.484954833984
142,12793.312960510253
143,17477.662353515625
144,7437.306412353516
145,7175.702471923829
146,7498.594262695312
147,7498.594262695312
148,7301.5963134765625
149,6137.396919250488
150,7389.326391601562
151,8622.62678100586
152,7408.363540649414
153,7408.363540649414
154,7433.821838378906
155,8483.931471862794
156,8483.931471862794
157,8483.931471862794
158,21191.00186590576
159,20992.14454916382
160,17139.207939453125
161,17075.355366210937
162,21007.922142425537
163,13475.93614929199
164,25279.755676220706
165,21493.342923980712
166,21059.296283935546
167,21059.296283935546
168,13209.147602233887
169,25530.031372973634
170,21018.10878890991
171,25702.056978149416
172,25198.359657470704
173,25412.900516723636
174,25513.668415698245
175,25513.668415698245
176,13072.152475891113
177,13691.591489410399
178,13691.591489410399
179,25702.056978149416
180,13475.93614929199
181,25738.120108789066
182,21144.56005178833
183,20588.252003936766
184,20679.36241409302
185,20679.36241409302
186,13759.0405178833
187,13812.330214233398
188,17075.355366210937
189,13302.592429504393
190,17481.92453704834
191,12454.173366394043
192,13302.592429504393
193,12865.870871429443
194,13317.032406921386
195,17139.207939453125
196,20680.596719512938
197,19800.709394836427
198,20680.596719512938
199,13395.272109832764
200,13847.226216888426
201,19768.72506668091
202,17116.54017578125
