index,deposit
0,22149.60338873291
1,7680.289414978027
2,5878.433654937745
3,5866.313380737305
4,6103.035052185058
5,23363.70804500122
6,14473.435892929076
7,12084.488485565185
8,12069.6652734375
9,12084.488485565185
10,15752.286787719726
11,12670.260211486817
12,6487.3206793212885
13,7970.355955810546
14,12539.657820739745
15,15777.894789733886
16,15752.981935443115
17,12688.708929290771
18,11337.400096435547
19,9169.32109890747
20,9365.461463775635
21,9632.714377578735
22,8277.130217285157
23,20532.10707690735
24,9623.616129684448
25,20992.799406127928
26,23922.368619592282
27,23922.368619592282
28,23831.960101440432
29,27138.70643259888
30,10678.324841308593
31,10678.324841308593
32,26488.655940246583
33,23523.944067553708
34,27298.218966674805
35,27518.324007406616
36,20926.14480102539
37,21086.785825946044
38,22178.21490288086
39,21157.31583709717
40,20397.17546081543
41,10787.491191101073
42,26852.076468670653
43,28279.29261793213
44,22283.51158120117
45,28084.97604980469
46,19267.294117736816
47,18836.049648010252
48,13734.56040939331
49,27053.426057533263
50,20458.77114880371
51,19825.57115496826
52,14705.90157131958
53,13734.56040939331
54,14051.317071075438
55,11675.19502166748
56,18234.58993560791
57,18234.58993560791
58,14856.79366672516
59,19222.030883148193
60,18572.085194641113
61,19148.46703872681
62,14098.14532119751
63,14098.14532119751
64,18689.247688522337
65,13670.837082061767
66,13964.21798751831
67,13622.254420471192
68,17945.74931121826
69,16582.27723944092
70,18954.876259918212
71,14551.288996963502
72,19447.251049104307
73,18677.51497444153
74,13876.649005584717
75,13876.649005584717
76,14321.113361206055
77,13925.338481140136
78,14491.95182771454
79,13941.365960998535
80,13852.755576400757
81,13941.811501159667
82,20105.714396209718
83,14288.855271989441
84,14288.855271989441
85,12104.605740509032
86,19566.480581817625
87,14776.288822010803
88,19112.37599182129
89,26122.697056274414
90,18330.041247802732
91,17999.08925688171
92,18036.34937182617
93,18348.70708190918
94,19334.634859291076
95,13942.699465637206
96,17333.19093685913
97,25777.687112823485
98,14223.499120022583
99,19332.80319824219
100,13723.776648254396
101,18200.440780563353
102,19285.663269296263
103,14495.934932228089
104,19064.150253204345
105,10388.595781799317
106,14625.65413602295
107,18974.014398986816
108,18987.816302368166
109,10601.923953369142
110,15203.462857513427
111,15951.835293518066
112,19282.384366973878
113,15243.353287619018
114,15779.354429522704
115,18945.05761690674
116,5645.669891967773
117,18962.852352618407
118,10593.404602264405
119,15780.930224008178
120,10681.833405395508
121,6412.409525146484
122,6412.409525146484
123,15195.82180888977
124,15197.282301339721
125,10609.721836853028
126,15333.886845472716
127,15129.364029803466
128,19377.29096812134
129,16288.057859292601
130,15862.926442984008
131,15851.985560946654
132,6076.20700805664
133,7025.627648773193
134,10400.178342581177
135,14286.368320312498
136,20054.098884576415
